# algorithm=org.fhcrc.cpl.viewer.feature.extraction.FeatureFinder
# date=Fri Mar 14 09:31:05 PDT 2008
# java.vendor=Sun Microsystems Inc.
# java.version=1.6.0_02
# revision=6674
# user.name=Dave
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	description
96	1543.3401	858.32587	true	1714.6372	2029.6295	2	1	0.19630894	26.471083	12.982442	4	92	100	9	20248.762	
110	1560.348	858.37744	true	1714.7404	1168.3536	2	1	0.033085547	63.493385	8.771278	5	101	119	19	17977.979	
25	1460.2411	745.39386	true	744.3866	1114.4303	1	1	0.020280406	15.826528	12.413276	4	17	41	25	13456.231	
89	1535.602	970.9549	true	1939.8953	823.70984	2	1	0.0228055	10.497823	2.5962036	5	81	103	23	9500.36	
164	1624.442	783.89233	true	1565.7701	771.20935	2	1	0.024676466	11.3547325	3.3645654	5	156	187	32	12656.351	
59	1499.35	950.4504	true	949.4431	522.21814	1	1	0.01853135	10.214185	1.7147348	4	52	71	20	5181.87	
24	1459.1339	822.8675	true	1643.7205	442.20456	2	1	0.02636923	7.889987	6.34695	5	16	43	28	6010.585	
116	1566.97	886.9004	true	1771.7863	363.86722	2	1	0.018168224	13.457684	1.8033577	6	111	129	19	3803.9243	
111	1561.454	906.50726	true	905.5	311.11084	1	1	0.0057613	5.225772	1.5554467	4	101	127	27	4203.1997	
43	1481.672	853.4205	true	852.4132	307.6435	1	1	0.026419025	5.1904483	1.9034973	4	36	58	23	3355.7317	
90	1536.706	866.37445	true	1730.7344	283.23117	2	1	0.03036623	17.047401	3.6059413	5	83	110	28	4410.0933	
101	1550.408	866.3748	true	1730.7351	259.31622	2	1	0.03095056	15.531711	3.2653048	5	83	111	29	4427.164	
189	1653.6119	769.33527	true	1536.656	255.91536	2	1	0.05593734	5.4386463	1.9253126	6	182	198	17	2359.7224	
10	1442.138	885.531	true	884.52374	254.37564	1	1	0.051802516	10.957876	1.974184	3	1	19	19	3128.476	
53	1492.727	923.929	true	1845.8435	248.67075	2	1	0.019071046	6.793689	1.268821	6	46	66	21	2525.8518	
10	1442.138	743.45245	true	742.4452	242.97241	1	1	0.36724347	16.673885	3.1478488	2	1	23	23	3133.948	
155	1612.951	752.8675	true	1503.7205	213.30421	2	1	0.006912842	5.251776	1.6897578	5	146	163	18	1960.1951	
64	1506.426	892.4891	true	891.4818	192.40533	1	1	0.020324843	5.3871593	1.3468448	4	56	79	24	2522.3848	
30	1465.762	997.93256	true	1993.8506	187.83504	2	1	0.13467881	6.8285155	10.812783	4	24	41	18	1966.9484	
160	1620.026	911.92377	true	1821.833	185.08272	2	1	0.030906506	5.0554004	1.6876639	6	154	175	22	1967.683	
152	1609.635	717.4487	true	716.44147	171.94955	1	1	0.026095117	3.5228493	1.6586952	3	145	164	20	1751.7916	
161	1621.131	706.39813	true	705.39087	160.95766	1	1	0.018639335	4.9873786	1.8558515	3	153	176	24	2102.268	
152	1609.635	890.3648	true	1778.7151	156.74854	2	1	0.024443056	6.155035	1.6796143	5	144	164	21	1572.3645	
96	1543.3401	860.3924	true	1718.7703	139.18462	2	1	1.8538672	9.034119	4.7828193	2	89	119	31	2820.7847	
69	1511.944	857.407	true	1712.7994	137.00116	2	1	0.19934148	7.0955243	1.7049168	6	62	87	26	1616.4076	
147	1604.11	837.9482	true	1673.8818	136.80446	2	1	0.023377603	4.69201	1.263937	5	139	163	25	1554.9207	
245	1720.138	710.8701	true	1419.7257	134.68585	2	1	0.029664587	2.3153195	1.8742754	4	237	255	19	1328.0413	
141	1597.491	751.3942	true	750.38696	122.81496	1	1	0.3230536	3.6550798	1.5901151	2	134	157	24	1420.1034	
266	1744.9	933.5046	true	932.4973	111.19125	1	1	0.17762834	4.583388	1.7939644	5	259	277	19	1191.2352	
18	1450.97	820.41876	true	819.4115	93.848175	1	1	0.03010903	7.489801	1.9457028	3	9	31	23	1342.452	
54	1493.829	933.5044	true	932.49713	91.11482	1	1	0.042651065	14.33261	4.036784	3	47	64	18	1169.9319	
41	1477.91	814.4524	true	1626.8903	90.69115	2	1	0.042063314	4.5323076	1.6986389	4	35	51	17	890.73096	
3	1432.855	766.425	true	1530.8354	85.64184	2	1	0.029193653	4.211702	1.6349826	4	1	14	14	665.97797	
106	1555.933	943.9473	true	1885.8801	85.35123	2	1	0.08958818	4.347276	1.6350198	4	100	116	17	868.4418	
49	1488.309	762.4221	true	761.41486	80.35767	1	1	0.28622773	5.2114644	1.6455137	2	30	61	32	1495.1868	
7	1438.827	839.89764	true	1677.7808	77.590706	2	1	0.1433234	7.591605	1.700844	6	1	13	13	709.0565	
84	1530.0741	970.48016	true	0.0	75.20215	0	1	-1.0	6.8874545	1.4333634	1	78	95	18	809.9721	
113	1563.661	762.3953	true	761.38806	65.01197	1	1	0.26678064	3.9526982	1.8393375	2	107	122	16	672.95795	
75	1518.5751	723.895	true	1445.7755	64.21042	2	1	0.028131675	3.5144315	1.4690967	4	68	83	16	728.30707	
84	1530.0741	754.67554	true	2261.005	62.93419	3	1	0.03457707	3.408136	1.4825554	5	76	99	24	1020.5836	
65	1507.53	866.4172	true	1730.8198	61.035183	2	1	0.06898644	13.439951	2.8775513	4	58	73	16	860.86084	
32	1467.968	762.39557	true	1522.7766	58.1941	2	1	0.037362233	4.5266304	2.0969381	4	23	56	34	1706.5333	
8	1439.931	830.87134	true	1659.7281	57.807575	2	1	0.25320768	5.2971315	1.8838674	5	1	19	19	677.5409	
78	1521.8949	722.95013	true	1443.8857	54.429108	2	1	1.0039462	2.277275	1.1607052	2	70	96	27	729.0447	
133	1587.084	713.47894	true	712.4717	54.15092	1	1	0.21310906	2.6130245	1.7761527	2	127	140	14	495.32416	
78	1521.8949	738.39233	true	1474.7701	53.90165	2	1	0.023181947	5.2229505	1.7374539	4	72	86	15	570.6757	
65	1507.53	849.37286	true	2545.0967	53.762955	3	1	0.052317098	4.0156736	1.5039284	5	60	73	14	465.51755	
202	1669.521	850.3958	true	1698.7771	52.540447	2	1	0.056528963	3.132482	1.4350152	4	196	211	16	465.02182	
73	1516.365	897.9209	true	1793.8273	50.27612	2	1	0.06445083	3.503397	1.3510647	4	66	88	23	636.03754	
267	1746.0049	879.92145	true	1757.8284	47.34367	2	1	0.05116273	1.7483298	2.6951659	4	261	274	14	439.94208	
236	1710.1891	756.39166	true	1510.7688	46.764072	2	1	0.026653806	3.170765	1.3234175	4	231	245	15	482.06766	
100	1549.3059	805.3931	true	1608.7717	44.40143	2	1	0.22759087	5.027656	1.6725962	3	95	107	13	418.63376	
96	1543.3401	884.83966	true	1767.6648	44.110065	2	1	0.10503596	4.612285	1.3605572	4	90	104	15	481.09143	
169	1629.968	931.4853	true	930.478	42.98966	1	1	0.36831555	8.642971	1.7839783	2	164	178	15	443.9805	
10	1442.138	878.90265	true	1755.7908	42.21076	2	1	0.06255057	8.002916	1.8932065	4	3	23	21	648.4707	
221	1692.073	752.42267	true	1502.8308	40.368374	2	1	0.018901695	2.2379096	1.8222171	4	215	230	16	384.6897	
99	1546.656	973.50653	true	972.49927	37.58937	1	1	0.3884389	5.7984066	1.8278615	2	84	111	28	596.66235	
19	1452.072	777.89325	true	1553.772	37.298847	2	1	0.10549721	4.043577	1.7114521	4	13	26	14	353.35297	
120	1572.718	962.563	true	961.5557	36.604633	1	1	0.0470276	3.7570531	1.6153187	3	116	127	12	343.73813	
100	1549.3059	803.39606	true	802.3888	36.288322	1	1	0.25022414	5.0557795	1.7072214	2	94	109	16	424.63715	
242	1716.82	992.4803	true	1982.946	35.14933	2	1	0.07118329	3.5087726	1.64105	4	237	249	13	276.806	
133	1587.084	899.56085	true	898.5536	33.378635	1	1	0.31342128	3.6692555	1.5868448	2	128	138	11	306.7384	
87	1533.389	999.46173	true	1996.9089	33.137775	2	1	1.5572554	6.3160496	2.0162325	2	81	95	15	366.23627	
9	1441.0339	752.86786	true	1503.7212	32.84205	2	1	0.16860542	8.009487	2.7438996	3	4	17	14	389.38007	
60	1500.4551	963.4285	true	962.42126	32.454376	1	1	0.06004728	4.6703863	1.2987261	3	55	67	13	318.05377	
119	1571.613	740.41943	true	1478.8243	31.117905	2	1	0.16148773	3.2891657	1.7676774	3	113	127	15	381.1432	
71	1514.151	712.34326	true	1422.672	28.84356	2	1	0.13024434	4.708288	1.890076	3	65	78	14	292.66504	
64	1506.426	804.42584	true	803.4186	28.664963	1	1	0.22694567	5.2982864	2.3309264	2	59	70	12	301.6428	
57	1497.1389	989.40894	true	1976.8033	27.899437	2	1	0.0800341	5.1628385	1.4107225	4	50	66	17	367.51492	
107	1557.0349	712.8343	true	1423.654	27.864803	2	1	0.13424858	3.3474646	1.8033156	3	102	114	13	233.77315	
18	1450.97	858.3914	true	1714.7683	27.353619	2	1	0.24984908	4.359151	1.2107544	3	12	27	16	296.4916	
112	1562.559	832.4988	true	831.4915	26.989212	1	1	0.23743035	3.4057102	1.3372945	2	106	119	14	264.8658	
201	1668.418	879.8928	true	1757.7711	25.104517	2	1	0.26412737	2.7430215	1.7125672	3	196	207	12	204.63829	
202	1669.521	710.1209	true	709.11365	25.050709	1	1	0.15605241	1.2435693	1.6660819	2	195	213	19	316.87708	
48	1487.204	998.9185	true	1995.8225	25.005688	2	1	1.4211133	6.0759854	2.2434335	2	23	56	34	1652.1282	
267	1746.0049	700.3112	true	1398.6079	24.43828	2	1	0.10405941	2.12366	1.311622	4	261	272	12	250.09795	
9	1441.0339	826.3908	true	1650.7671	23.95861	2	1	0.22078265	6.8865223	1.4382231	3	4	19	16	326.34094	
51	1490.5199	882.4778	true	881.4705	23.839743	1	1	0.2608354	3.863288	1.1988434	2	44	59	16	246.77596	
59	1499.35	734.3604	true	2200.0596	22.603872	3	1	0.46518514	4.374649	1.8576926	3	54	69	16	256.6897	
183	1646.983	788.38544	true	1574.7563	22.265047	2	1	0.16018914	3.2390409	1.4702808	3	182	187	6	120.742615	
11	1443.241	718.8428	true	1435.671	22.03814	2	1	0.13737366	5.8415055	1.1721654	3	5	20	16	276.7165	
163	1623.338	919.9231	true	1837.8317	22.014122	2	1	0.097326875	4.2467813	1.7681828	4	157	169	13	204.0282	
106	1555.933	799.9001	true	1597.7856	21.893003	2	1	0.1787207	3.7829995	1.4294713	3	100	118	19	329.17242	
28	1463.555	706.347	true	1410.6794	21.834545	2	1	0.14417402	4.9393167	2.666626	4	24	33	10	189.53963	
18	1450.97	775.41815	true	774.4109	21.732546	1	1	0.1823443	3.9372854	1.6221325	2	12	26	15	266.54224	
101	1550.408	902.47516	true	1802.9358	20.963018	2	1	0.2523244	4.5809717	1.6275873	3	97	107	11	188.49434	
62	1504.2161	764.8702	true	1527.7258	20.895618	2	1	0.14162073	1.9453272	1.5952337	3	57	71	15	240.13245	
259	1737.163	978.4217	true	977.4144	20.89334	1	1	0.31940377	2.7424333	1.8559712	2	254	264	11	178.23355	
121	1573.8251	812.8913	true	1623.7681	20.7668	2	1	0.18685539	4.3762164	1.6690917	3	117	135	19	255.54028	
7	1438.827	720.38947	true	0.0	20.412798	0	1	-1.0	7.7507086	1.4752023	1	1	16	16	300.6942	
138	1594.173	898.36395	true	1794.7134	20.241491	2	1	0.24504542	3.0882318	1.6165768	3	132	144	13	245.08281	
86	1532.283	848.44183	true	847.4346	19.943342	1	1	0.22216804	3.337897	1.5876746	2	81	90	10	174.99973	
287	1769.681	805.4138	true	1608.8131	19.622795	2	1	0.03957075	4.9256177	1.6796584	4	281	292	12	212.87064	
112	1562.559	915.44336	true	1828.8722	19.40043	2	1	0.071487285	6.733078	1.8670502	4	107	118	12	207.86975	
134	1588.189	819.91876	true	1637.823	19.28644	2	1	0.18797456	3.7616367	1.4357793	3	121	149	29	427.178	
165	1625.547	924.50214	true	923.4949	19.142536	1	1	0.2656222	4.4865074	1.4487349	2	157	190	34	460.8666	
197	1663.9979	900.39557	true	1798.7766	18.91728	2	1	0.078326926	3.097046	1.3645674	4	193	204	12	179.02011	
202	1669.521	706.1548	true	705.1475	18.747284	1	1	0.2346893	1.5760354	1.5913543	3	196	212	17	217.816	
160	1620.026	774.42	true	1546.8254	18.513329	2	1	0.1006189	3.8323786	1.3799752	4	155	166	12	189.90523	
141	1597.491	866.4593	true	1730.904	18.454468	2	1	0.21171662	6.8616867	2.251393	3	137	145	9	158.28955	
36	1472.386	821.895	true	1641.7755	18.311954	2	1	0.89969254	4.437122	2.0485418	2	31	42	12	173.91211	
266	1744.9	737.3935	true	736.3862	18.24901	1	1	0.15491773	1.7830939	1.3656394	2	260	271	12	190.40718	
190	1654.717	772.1049	true	2313.293	18.227415	3	1	1.6324408	2.7306378	1.5803543	2	185	197	13	191.95105	
189	1653.6119	795.7971	true	1589.5797	18.100084	2	1	0.4389904	2.1666906	1.9637858	6	185	193	9	136.83437	
125	1578.244	720.4018	true	719.39453	17.979336	1	1	0.14729932	2.7912984	1.8275713	2	119	130	12	185.67834	
58	1498.244	728.3379	true	1454.6613	17.853184	2	1	0.7055904	4.645933	1.5060271	2	54	61	8	127.384735	
21	1454.28	802.4217	true	801.4144	17.729637	1	1	0.2866194	4.8008347	1.505465	2	16	27	12	181.79393	
40	1476.802	737.728	true	2210.1624	17.584661	3	1	0.4221047	2.3676052	1.3212429	3	34	47	14	200.06436	
268	1747.112	882.9768	true	1763.9391	17.574936	2	1	0.22116959	4.001904	2.1760929	3	264	272	9	161.69476	
184	1648.084	923.49554	true	1844.9766	17.501116	2	1	0.25476238	2.9027839	1.4817748	3	178	191	14	190.86887	
52	1491.6239	712.0571	true	2133.1497	17.30023	3	1	0.3874387	4.107978	1.7840886	3	47	57	11	161.24269	
47	1486.0979	752.89355	true	1503.7726	17.296577	2	1	0.12321749	4.356211	2.275777	3	43	51	9	139.77597	
84	1530.0741	772.31903	true	2313.9353	17.295063	3	1	0.30691585	3.4310145	1.6277168	6	78	91	14	225.47935	
74	1517.47	760.0242	true	2277.0508	17.291773	3	1	0.1126279	3.306075	1.8461468	4	69	81	13	196.80771	
78	1521.8949	887.9607	true	1773.9069	17.275482	2	1	1.0479769	4.0171013	1.6778314	2	75	81	7	119.586494	
166	1626.649	812.42145	true	1622.8284	17.162212	2	1	0.2005653	3.459236	1.7098325	3	154	175	22	357.6571	
87	1533.389	708.3682	true	1414.7219	17.116194	2	1	0.09732659	3.841949	1.4370185	3	81	94	14	202.75557	
107	1557.0349	857.3926	true	1712.7706	16.636076	2	1	0.98208106	8.922489	2.77402	2	104	112	9	162.54468	
258	1736.057	735.3572	true	734.3499	16.539185	1	1	0.14669652	1.6763642	1.6776172	2	254	265	12	142.48381	
153	1610.744	807.9521	true	1613.8896	16.51213	2	1	0.1620204	3.1151252	1.5052643	3	148	158	11	154.40529	
209	1677.258	785.3113	true	1568.608	16.020573	2	1	0.15971142	2.5812354	1.4707069	3	204	213	10	137.32257	
158	1617.8201	770.40356	true	1538.7926	15.772787	2	1	0.9751096	3.651052	1.839062	3	156	161	6	97.32927	
189	1653.6119	777.83856	true	1553.6626	15.56468	2	1	0.78960824	2.3069694	1.8582531	2	185	193	9	114.02057	
25	1460.2411	839.88947	true	1677.7644	15.548515	2	1	0.89466554	5.4628344	1.3299592	2	21	29	9	139.53761	
88	1534.495	763.8935	true	1525.7725	15.185635	2	1	0.7403228	2.6563435	1.7167183	2	80	94	15	192.89532	
73	1516.365	710.3923	true	1418.77	14.664103	2	1	0.6720152	3.2110963	1.4338555	2	68	79	12	134.4138	
154	1611.847	828.4253	true	1654.836	14.407858	2	1	0.8541623	4.2112613	1.5891064	2	148	161	14	180.96045	
