value	title	description	category	date_disabled
HCAR	HOLD/RESERVE FOR DR. CARLSON		Census	27-JUL-11
HOBV	ON HOLD BOB VOGT		Census	27-JUL-11
N16B	NC16 12/13/00		Census	27-JUL-11
N16C	NC16 5/1/02		Census	27-JUL-11
N16D	NC16 2/23/04		Census	27-JUL-11
HOVI	HOLD VIVIAN IMAMURA		Census	27-JUL-11
HOKH	HOLD FOR KATTIE HAACK		Census	27-JUL-11
CBM1	CHECK WITH BEHAVIOR MANAGEMENT - 1		Census	27-JUL-11
CBM2	CHECK WITH BEHAVIOR MANAGEMENT - 2		Census	27-JUL-11
CBM3	CHECK WITH BEHAVIOR MANAGEMENT - 3		Census	27-JUL-11
CBM4	CHECK WITH BEHAVIOR MANAGEMENT - 4		Census	27-JUL-11
CRRD	CRANIAL RECORDING DEVICE		Census	27-JUL-11
WELL	WELL		Census	27-JUL-11
HOTE	HOLD FOR TESSA DUTCHER		Census	27-JUL-11
RRV	SPECIAL NECROPSY INSTRUCTIONS		Census	27-JUL-11
THB	THB		Census	27-JUL-11
POPT	POSITIVE PREFERENCE TESTING		Census	27-JUL-11
HJS1	HOLD JENNY SHORT #1		Census	07-JUL-11
TOCB	CORN CRIB BREEDING		Census	27-JUL-11
PM34	AUTOIMMUNE DISORDER		Census	27-JUL-11
NC21	RESERVED		Census	27-JUL-11
NC23	RESERVED		Census	27-JUL-11
NCXX	RESERVED FOR NC FORMATION		Census	05-AUG-11
BG01	BG SCREENING <60		Census	11-MAR-13
BG02	BG SCREENING 60-80		Census	11-MAR-13
BG03	BG SCREENING >80		Census	11-MAR-13
AGED	VALUABLE OLDER ANIMAL		Census	22-JUL-11
BEHV	BEHAVIORAL STUDY OBSERVATION SUBJECT		Census	22-JUL-11
BUR1	FULL BURMESE RHESUS		Census	14-JUN-08
CAST	CASTRATED		Census	27-JUL-11
CHI2	1/2 CHINESE RHESUS		Census	06-JAN-03
CHI3	1/4 CHINESE RHESUS		Census	06-JAN-03
CHI4	1/4 CHINESE		Census	06-JAN-03
COLE	PARTIAL COLECTOMY		Census	27-JUL-11
FEP	TREATED ON AN IRON STUDY PROJECT		Census	27-JUL-11
H2O	PSYCHOGENIC WATER DRINKER		Census	27-JUL-11
HCG	RECEIVED HUMAN CHORIONIC GONADOTROPIN		Census	27-JUL-11
HIV2	INFECTIOUS HIV-2 INOCULATION		Census	27-JUL-11
HR	HIGH SOCIAL RANK (TOP 1/3)		Census	27-JUL-11
INB1	HIGHLY INBRED (F>0.125)		Census	27-JUL-11
INB2	MOD INBRED (F> 0.0625, < 0.125)		Census	27-JUL-11
INB3	LOW INBRED (F> 0.000, < 0.0625)		Census	27-JUL-11
KEEP	DO NOT SELL - HOLD FOR FUTURE PROJECT		Census	27-JUL-11
