meaning	description
1000	EUROPEAN REGION
1100	CONT. EUROPE
1101	ALBANIA
1102	ANDORRA
1103	AUSTRIA
1104	BELGIUM
1105	BULGARIA
1106	CYPRUS
1107	CZECHOSLOVAKIA
1108	DENMARK
1109	FRANCE
1110	EAST GERMANY
1111	WEST GERMANY
1112	GIBRALTAR
1113	GREECE
1114	HUNGARY
1115	ITALY
1116	LIECHTENSTEIN
1117	LUXEMBOURG
1118	MALTA
1119	MONACO
1120	NETHERLANDS
1121	POLAND
1122	PORTUGAL
1123	ROMANIA
1124	SAN MARINO
1125	SPAIN
1126	SWITZERLAND
1127	TURKEY
1128	VATICAN CITY
1129	YUGOSLAVIA
1200	INSULAR EUROPE
1201	CHANNEL ISLANDS
1202	ENGLAND
1203	ISLE OF MAN
1204	NORTHERN IRELAND
1205	SCOTLAND
1206	SHETLAND ISLS.
1207	WALES
1208	IRELAND
1300	NORTHERN EUROPE
1301	FAEROE ISLANDS
1302	FINLAND
1303	ICELAND
1304	JAN MAYEN
1305	NORWAY
1306	SVALBARD
1307	SWEDEN
2000	AFRICA
2100	NORTH AFRICA
2101	ALGERIA
2102	CANARY ISLANDS
2103	EGYPT
2104	LIBYA
2105	MADEIRA ISLANDS
2106	MOROCCO
2107	SPAN.NO.AFRICA
2108	SUDAN
2109	TUNISIA
2200	WEST AFRICA
2201	CAPE VERDE ISLS
2202	CHAD
2203	DAHOMEY
2204	GAMBIA
2205	GHANA
2206	GUINEA
2207	IVORY COAST
2208	LIBERIA
2209	MALI
2210	MAURITANIA
2211	NIGER
2212	NIGERIA
2213	PORT. GUINEA
2214	SENEGAL
2215	SIERRA LEONE
2216	SPANISH SAHARA
2217	TOGO
2218	UPPER VOLTA
2300	CENTRAL AFRICA
2301	ANGOLA
2302	CAMEROON
2303	CTR.AFR.REP.
2304	CONGO
2305	EQUA. GUINEA
2306	GABON
2307	ST HELENA
2308	SAO TOME E PRIN.
2309	ZAIRE
2400	EAST AFRICA
2401	AFARS AND ISSAS
2402	BURUNDI
2403	COMORO ISLANDS
2404	CROZET ISLANDS
2405	ETHIOPIA
2406	KENYA
2407	MALAGASY
2408	MAURITIUS
2409	MOZAMBIQUE
2410	REUNION
2411	RWANDA
2412	SEYCHELLES
2413	SOMALIA
2414	TANZANIA
2415	UGANDA
2416	ZANZIBAR
2500	SOUTH AFRICA
2501	BOTSWANA
2502	LESOTHO
2503	MALAWI
2504	PRIN.EDWARD ISLS
2505	RHODESIA
2506	SOUTH AFRICA
2507	NAMBIA
2508	SWAZILAND
2509	ZAMBIA
3000	AMERICAN REGION
3100	NORTH AMERICA
3101	BERMUDA
3102	CANADA
3103	GREENLAND
3104	ST.PIERRE&MIQUE.
3105	U.S. OF AMERICA
3200	CENTRAL AMERICA
3201	ANTIGUA
3202	BAHAMAS
3203	BARBADOS
3204	BRITISH HONDURAS
3205	CANAL ZONE
3206	CAYMAN ISLANDS
3207	COSTA RICA
3208	CUBA
3209	DOMINICA
3210	DOMINICAN REP.
3211	EL SALVADOR
3212	GRENADA
3213	GUADELOUPE
3214	GUATEMALA
3215	HAITI
3216	HONDURAS
3217	JAMAICA
3218	MARTINIQUE
3219	MEXICO
3220	MONTSERRAT
3221	NETHER. ANTILLES
3222	NICARAGUA
3223	PANAMA
3224	PUERTO RICO
3225	ST. CHRISTOPHER
3226	ST. LUCIA
3227	ST. VINCENT
3228	TRINIDAD&TOBAGO
3229	TURKS&CAICOS IS.
