device_modality	device_type	device_name	description
PHOTOGRAPHY	DIGITAL CAMERA	Nikon D70	Nikon D70 Digital Camera
PHOTOGRAPHY	DIGITAL CAMERA	Nikon D100
PHOTOGRAPHY	DIGITAL CAMERA	Canon A95
PHOTOGRAPHY	SLIDE SCANNER	Nikon CoolScan
MICROSCOPY	WHOLE SLIDE SCANNER	Aperio ScanScope T2
MICROSCOPY	WHOLE SLIDE SCANNER	Aperio ScanScope T3
MICROSCOPY	UNKNOWN	Unknown
PHOTOGRAPHY	UNKNOWN	Unknown
RADIOLOGY	UNKNOWN	Unknown
MICROSCOPY	DIGITAL CAMERA	Nikon D70
PHOTOGRAPHY	SLIDE SCANNER	Microtek ArtixScan 1800f
MICROSCOPY	SLIDE SCANNER	Microtek ArtixScan 1800f
