code	scientific_name	common_name
AFR	ATELES FUSCICEPS	COLUMBIAN B. SPIDER MONKEY
AGE	ATELES GEOFFROYI	GOLDEN SPIDER MONKEY
APA	ATELES PANISCUS	BLACK SPIDER MONKEY
ATR	AOTUS TRIVIRGATUS	OWL MONKEY
CAE	CERCOPITHECUS AETHIOPS	AFRICAN GREEN MONKEY
CAL	CEBUS ALBIFRONS	WHITE-FRONTED CAPUCHIN
CAP	CEBUS APELLA	BROWN-TUFTED CAPUCHIN
CFU	CERCOCEBUS TORQUATUS ATYS	SOOTY MANGABEY
CMA	CERCOPITHECUS M ALBOGULARI	SYKES MONKEY
CMO	CALLICEBUS MOLOCH	TITI MONKEY
CTA	CERCOPITHECUS TALAPOIN	TALAPOIN
DOG	CANIS FAMILIARIS	DOMESTIC DOG
EPA	ERYTHROCEBUS PATAS	PATAS MONKEY
GCP	GALAGO CRASSICAUDATUS	GREATER GALAGO
GSM	GALAGO SENEGALENSIS	LESSER GALAGO
HLA	HYLOBATES LAR	WHITE-HANDED GIBBON
LLA	LAGOTHRIX LAGOTHRICHA	BROWN WOOLLY MONKEY
MCY	MACACA FASCICULARIS	CYNOMOLGUS MONKEY
MFU	MACACA FUSCATA	JAPANESE MACAQUE
MMA	MACACA MAURUS	CELEBES MACAQUE
MMS	MACACA M. X SPECIOSA	ROCK RHESUS
MMU	MACACA MULATTA	RHESUS MACAQUE
MNE	MACACA NEMESTRINA	PIG-TAILED MACAQUE
MRA	MACACA RADIATA	BONNET MACAQUE
MSP	MACACA ARCTOIDES	STUMP-TAILED MACAQUE
PAN	PAPIO CYNOCEPHALUS ANUBIS	OLIVE BABOON
PCR	PRESBYTIS CRISTATUS	SILVERED LEAF MONKEY
PCY	PAPIO CYNOCEPHALUS	YELLOW BABOON
PPA	PAPIO PAPIO	WESTERN BABOON
PSA	PAN SATYRUS	CHIMPANZEE
SEN	PRESBYTIS ENTELLUS	ENTELLUS LANGUR
SNI	SAGUINUS NIGRICOLLIS	BLACK-NECKED TAMARIN
SSC	SAIMIRI SCIUREUS	SQUIRREL MONKEY
TGE	THEROPITHECUS GELADA	GELADA BABOON
XPA	PAPIO C. X ANUBIS	YELLOW X OLIVE BABOON
