value	description
BONE MARROW	Bone Marrow 
BUFFY COAT	Buffy Coat 
CSF	Cerebrospinal Fluid 
DNA	DNA 
EDTA	EDTA Anti-coagulated Whole Blood 
EDTA BLOOD	EDTA Anti-coagulated Whole Blood 
EDTA PLASMA	EDTA Anti-coagulated Plasma 
EYE	Tissue/Fluid Collected From Either Eye 
FRSH LYMPH NODE	Fresh Lymph Node Tissue 
FRSH SPLEEN	Fresh Spleen Tissue 
FRZ LYMPH NODE	Frozen Lymph Node Tissue 
FRZ SPLEEN	Frozen Spleen Tissue 
FTA	FTA Collection Paper 
GEN	Tissue/Fluid Collected From Genitalia 
HEP BLOOD	Heparinized Whole Blood 
OTH	Other 
PBL	Peripheral Blood Lymphocytes 
PBMC	Peripheral Blood Mononuclear Cells 
PLASMA	Plasma 
POOL	Pooled Sample 
SAL	Saliva 
SALIVA	Saliva 
SER	Serum
SERUM	Serum
STOOL/FECES	Stool/Feces
URINE	Urine
WHOLE BLOOD	Whole Blood (no anticoagulant)
