value	title	description	category	date_disabled
L	CENTER LONG-TERM BREEDING POOL	BASE BREEDING COLONY	Colony	
O	OTHER COLONY	RESEARCH COLONY	Colony	
R	CENTER RESEARCH BREEDING POOL	RESEARCH COLONY	Colony	
X	CENTER RESEARCH NON-BREEDING POOL	RESEARCH COLONY	Colony	
P	PRIMATE TESTING FACILITY	RESEARCH COLONY	Colony	08-MAY-06
G	SPF/INDIAN/AO1 PRODUCTION COLONY	SPF INDIAN PRODUCTION	Colony	
C	Chinese Production Colony	SPF Chinese Production	Colony	
H	Hybrid Production Surplus	Hybrid Production Surplus	Colony	
N	NICHD BREEDING COLONY	NON-BASE BREEDING COLONY	Colony	14-MAY-01
S	SPECIFIC PATHOGEN FREE COLONY	SPF BREEDING COLONY	Colony
