id	name	next_pedate	comment
1000046
1000006	BAR52-B	02-DEC-15	COLONY ANIMALS IN WITH BAR52 KIDS, PE TOGETHER
1000010	EST06-1	06-NOV-16	8 ANIMALS
1000011	EST06-3	06-MAY-16	8ANIMALS
1000017	R3	20-APR-17	FULL X 8
1000019	R1-A	20-MAR-17	7 TOTAL
1000026	R5	20-MAR-17	7 TOTAL
1000031	EST06-2	13-NOV-16	8 ANIMALS
1000034	R12	20-MAR-17	4 TOTAL
1000036	R8	20-JAN-17	1 TOTAL
1000037	R6	20-SEP-16	7 TOTAL
1000038	R4	20-JUN-17	5 TOTAL
1000040	R2	20-MAY-17	FULL X  8
1000042	BAR52-2	02-DEC-15	PER PROJECT SENIOR VET ONLY KC
