code	primaryCategory	secondaryCategory
T-32000	CLINICAL OBSERVATION	Topography
M-20500	CLINICAL OBSERVATION	Morphology
M-Y7300	CLINICAL OBSERVATION	Morphology
M-01100	CLINICAL OBSERVATION	Morphology
F-35604	CLINICAL OBSERVATION	Function
F-35600	CLINICAL OBSERVATION	Function
D-Y3602	CLINICAL OBSERVATION	Disease
M-73001	CLINICAL OBSERVATION	Morphology
F-35601	CLINICAL OBSERVATION	Function
D-Y3601	CLINICAL OBSERVATION	Disease
T-38000	CLINICAL OBSERVATION	Topography
M-01400	CLINICAL OBSERVATION	Morphology
F-YY014	CLINICAL OBSERVATION	Function
D-Y3700	CLINICAL OBSERVATION	Disease
D-Y3600	CLINICAL OBSERVATION	Disease
D-YA726	CLINICAL OBSERVATION	Disease
P-X9000	CLINICAL OBSERVATION	Procedure
M-YP872	CLINICAL OBSERVATION	Morphology
F-YY015	CLINICAL OBSERVATION	Function
D-31S02	CLINICAL OBSERVATION	Disease
D-Y7256	CLINICAL OBSERVATION	Disease
T-39000	CLINICAL OBSERVATION	Topography
M-00100	CLINICAL OBSERVATION	Morphology
F-35603	CLINICAL OBSERVATION	Function
F-29C01	CLINICAL OBSERVATION	Function
D-43152	CLINICAL OBSERVATION	Disease
D-Y0001	CLINICAL OBSERVATION	Disease
F-C7231	CLINICAL OBSERVATION	Function
D-43151	CLINICAL OBSERVATION	Disease
P-73000	CLINICAL OBSERVATION	Procedure
M-34000	CLINICAL OBSERVATION	Morphology
T-40000	CLINICAL PROCEDURE	Topography
F-DONOR	CLINICAL PROCEDURE	Function
M-28030	CLINICAL PROCEDURE	Morphology
T-Y9400	CLINICAL PROCEDURE	Topography
M-40000	CLINICAL PROCEDURE	Morphology
F-35250	CLINICAL PROCEDURE	Function
T-82000	CLINICAL PROCEDURE	Topography
F-04540	CLINICAL PROCEDURE	Function
P-32287	CLINICAL PROCEDURE	Procedure
D-40100	CLINICAL PROCEDURE	Disease
D-77141	CLINICAL PROCEDURE	Disease
P-02300	CLINICAL PROCEDURE	Procedure
M-YY016	CLINICAL PROCEDURE	Morphology
E-YY273	CLINICAL PROCEDURE	Etiology
F-31600	CLINICAL PROCEDURE	Function
P-12300	CLINICAL PROCEDURE	Procedure
F-YY015	CLINICAL PROCEDURE	Function
T-00010	CLINICAL PROCEDURE	Topography
M-37000	CLINICAL PROCEDURE	Morphology
P-17800	CLINICAL PROCEDURE	Procedure
E-77715	CLINICAL TREATMENT	Etiology
E-72360	CLINICAL TREATMENT	Etiology
E-84780	CLINICAL TREATMENT	Etiology
E-75470	CLINICAL TREATMENT	Etiology
E-YY083	CLINICAL TREATMENT	Etiology
E-72370	CLINICAL TREATMENT	Etiology
E-YY043	CLINICAL TREATMENT	Etiology
E-72602	CLINICAL TREATMENT	Etiology
E-87501	CLINICAL TREATMENT	Etiology
E-72220	CLINICAL TREATMENT	Etiology
E-77760	CLINICAL TREATMENT	Etiology
E-85150	CLINICAL TREATMENT	Etiology
E-75472	CLINICAL TREATMENT	Etiology
E-86470	CLINICAL TREATMENT	Etiology
E-85760	CLINICAL TREATMENT	Etiology
E-YY045	CLINICAL TREATMENT	Etiology
E-YY240	CLINICAL TREATMENT	Etiology
E-YY241	CLINICAL TREATMENT	Etiology
P-Y3301	CLINICAL TREATMENT	Procedure
P-YY111	CLINICAL TREATMENT	Procedure
P-YY113	CLINICAL TREATMENT	Procedure
J-C1DAE	CLINICAL TREATMENT	Occupation
J-YY054	CLINICAL TREATMENT	Occupation
J-52A00	CLINICAL TREATMENT	Occupation
J-C1B40	CLINICAL TREATMENT	Occupation
J-YY053	CLINICAL TREATMENT	Occupation
J-YY045	CLINICAL TREATMENT	Occupation
J-A1D19	CLINICAL TREATMENT	Occupation
J-05116	CLINICAL TREATMENT	Occupation
J-TAO50	CLINICAL TREATMENT	Occupation
J-BEANO	CLINICAL TREATMENT	Occupation
J-PC003	CLINICAL TREATMENT	Occupation
J-TAFLU	CLINICAL TREATMENT	Occupation
J-YY153	CLINICAL TREATMENT	Occupation
J-E721X	CLINICAL TREATMENT	Occupation
J-E8473	CLINICAL TREATMENT	Occupation
J-80410	CLINICAL TREATMENT	Occupation
J-EY124	CLINICAL TREATMENT	Occupation
J-YY202	CLINICAL TREATMENT	Occupation
J-MY189	CLINICAL TREATMENT	Occupation
J-YY087	CLINICAL TREATMENT	Occupation
T-21000	CLINICAL TREATMENT	Topography
T-XX010	CLINICAL TREATMENT	Topography
E-72090	CLINICAL TREATMENT	Etiology
E-87280	CLINICAL TREATMENT	Etiology
E-87720	CLINICAL TREATMENT	Etiology
E-79520	CLINICAL TREATMENT	Etiology
E-72130	CLINICAL TREATMENT	Etiology
E-85350	CLINICAL TREATMENT	Etiology
E-85151	CLINICAL TREATMENT	Etiology
E-X0001	CLINICAL TREATMENT	Etiology
E-76860	CLINICAL TREATMENT	Etiology
E-876X0	CLINICAL TREATMENT	Etiology
E-85460	CLINICAL TREATMENT	Etiology
E-74290	CLINICAL TREATMENT	Etiology
E-72010	CLINICAL TREATMENT	Etiology
E-88490	CLINICAL TREATMENT	Etiology
E-87230	CLINICAL TREATMENT	Etiology
E-84840	CLINICAL TREATMENT	Etiology
E-YY194	CLINICAL TREATMENT	Etiology
E-YY242	CLINICAL TREATMENT	Etiology
E-YY249	CLINICAL TREATMENT	Etiology
E-77970	CLINICAL TREATMENT	Etiology
E-89270	CLINICAL TREATMENT	Etiology
E-87250	CLINICAL TREATMENT	Etiology
E-87380	CLINICAL TREATMENT	Etiology
P-YY103	CLINICAL TREATMENT	Procedure
P-YY112	CLINICAL TREATMENT	Procedure
J-84716	CLINICAL TREATMENT	Occupation
J-YY074	CLINICAL TREATMENT	Occupation
J-C1DF0	CLINICAL TREATMENT	Occupation
J-YY076	CLINICAL TREATMENT	Occupation
J-YYC01	CLINICAL TREATMENT	Occupation
J-A0D18	CLINICAL TREATMENT	Occupation
J-52B50	CLINICAL TREATMENT	Occupation
J-YY071	CLINICAL TREATMENT	Occupation
J-YY060	CLINICAL TREATMENT	Occupation
J-YY041	CLINICAL TREATMENT	Occupation
J-YY080	CLINICAL TREATMENT	Occupation
J-52226	CLINICAL TREATMENT	Occupation
J-YY056	CLINICAL TREATMENT	Occupation
J-YY140	CLINICAL TREATMENT	Occupation
J-1139V	CLINICAL TREATMENT	Occupation
J-NITAZ	CLINICAL TREATMENT	Occupation
J-8METH	CLINICAL TREATMENT	Occupation
J-NAXCL	CLINICAL TREATMENT	Occupation
J-Y5698	CLINICAL TREATMENT	Occupation
J-YY141	CLINICAL TREATMENT	Occupation
J-EY225	CLINICAL TREATMENT	Occupation
J-C1EC4	CLINICAL TREATMENT	Occupation
J-B1C20	CLINICAL TREATMENT	Occupation
J-76030	CLINICAL TREATMENT	Occupation
J-D6097	CLINICAL TREATMENT	Occupation
J-8578E	CLINICAL TREATMENT	Occupation
E-71990	CLINICAL TREATMENT	Etiology
