"ts"	"remark"	"taskid"	"parentId"	"date"	"QCStateLabel"	"Id"	"projectCode"	"requestid"	"enddate"	"assignmentStatus"
"2010-05-24 14:29:32.0"	""	""	""	"2005-11-12 00:00:00.0"	"Completed"	"TEST1"	"Pc5C2"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2007-11-12 00:00:00.0"	"Completed"	"TEST2"	"Pc5C1"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2010-11-12 00:00:00.0"	"Completed"	"TEST2"	"Pc5C0"	""	""	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2010-11-12 00:00:00.0"	"Completed"	"TEST3"	"5246167"	""	"2011-02-22 00:00:00.0"	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2001-11-12 00:00:00.0"	"Completed"	"TEST3804589"	"5246167"	""	"2002-10-22 00:00:00.0"	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2002-05-14 00:00:00.0"	"Completed"	"TEST3804589"	"5989505"	""	"2002-05-16 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2003-05-12 00:00:00.0"	"Completed"	"TEST3804589"	"433621"	""	"2003-05-13 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2003-05-19 00:00:00.0"	"Completed"	"TEST3804589"	"5246167"	""	"2004-01-15 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2004-01-26 00:00:00.0"	"Completed"	"TEST3804589"	"5709520"	""	"2004-04-20 00:00:00.0"	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2004-01-26 00:00:00.0"	"Completed"	"TEST3804589"	"4726399"	""	"2004-04-19 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2004-05-13 00:00:00.0"	"Completed"	"TEST3804589"	"5709520"	""	"2004-11-03 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2004-05-13 00:00:00.0"	"Completed"	"TEST3804589"	"4726399"	""	"2004-07-23 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2004-07-29 00:00:00.0"	"Completed"	"TEST3804589"	"4726399"	""	"2004-11-03 00:00:00.0"	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2005-03-28 00:00:00.0"	"Completed"	"TEST3804589"	"1101324"	""	"2005-04-01 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2005-05-20 00:00:00.0"	"Completed"	"TEST3804589"	"Pc5C1"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2005-05-20 00:00:00.0"	"Completed"	"TEST6390238"	"Pc5C1"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2005-05-20 00:00:00.0"	"Completed"	"TEST1112911"	"Pc5C1"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2008-09-20 00:00:00.0"	"Completed"	"44444"	"Pc5C0"	""	"2016-01-01 00:00:00.0"	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2008-09-20 00:00:00.0"	"Completed"	"44444"	"Pc5C1"	""	"2016-01-01 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2008-09-20 00:00:00.0"	"Completed"	"44444"	"Pc5C2"	""	"2016-01-01 00:00:00.0"	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"44446"	"Pc5C2"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"TSTCP"	"Pc5C1"	""	""	"P"
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"TSTCP"	"Pc5C2"	""	""	"S"
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"TSTCP"	"1101324"	""	""	"S"
"2017-07-13 00:00:00.0"	""	""	""	"2017-07-13 00:00:00.0"	"Completed"	"TEST1684145"	"Pc5C1"	""	""	"P"
"2017-07-13 00:00:00.0"	""	""	""	"2017-07-13 00:00:00.0"	"Completed"	"TEST1684145"	"Pc5C0"	""	""	"S"
